pVal	phase	peak.shape	period
Adgra1	0.659692932834549	22	6	24
Adgra2	0.118702706441948	20	18	24
Adgrb1	0.0201951111629043	22	4	24
Adgrb2	0.20818169574539	18	14	24
Adgre1	0.481197887486629	2	16	24
Adgre4	0.934275383686	4	6	24
Adgrf1	9.99993575103904e-06	16	6	24
Adgrf4	0.27862046910296	18	8	24
Adgrg1	0.00189938033845598	8	10	24
Adgrg2	7.95657753587921e-06	18	10	24
Adgrg3	9.71807087319049e-09	12	6	24
Adgrg6	0.944341977709776	18	4	24
Adgrl1	0.950599448818669	22	20	24
Adgrl2	0.244787174901981	12	8	24
Adgrl3	0.44397331878936	18	18	24
Adgrl4	0.000136760085314333	24	14	24
Adgrv1	0.00204933141780777	18	10	24
Adh1	0.000379241359499249	22	14	24
Adh4	1.17709831237744e-06	10	12	24
Adh5	0.967250680255622	24	10	24
Adh7	0.000433200203038216	24	12	24
Adhfe1	0.00149005748007058	10	10	24
Adi1	0.191961472463876	24	10	24
Adig	0.00391253373462158	16	16	24
Adipoq	0.945200775232142	22	4	24
Adipor1	0.000113282487633357	24	4	24
Adipor2	7.31759807986931e-05	6	14	24
Adm	0.00953486423932158	20	12	24
Adm2	0.44397331878936	18	12	24
Adnp2	0.0241940058073038	24	20	24
Ado	0.00011712917594931	6	12	24
Adora1	3.41204453578917e-06	16	14	24
Adora2a	0.162039456717319	6	10	24
Adora2b	0.0743375845233401	18	10	24
Adpgk	6.09904837122176e-06	22	14	24
Adprh	0.00419646089551182	4	16	24
Adprhl1	0.0232807354568767	18	14	24
Adprhl2	0.107148570753207	14	12	24
Adprm	0.0840337912002976	12	8	24
Adra1a	0.481066997066098	12	6	24
Adra1b	6.4955474614392e-08	4	12	24
Adra2a	0.13809473274187	18	10	24
Adra2b	0.0125748640590908	4	14	24
Adra2c	0.0383471248988485	22	4	24
Adrb1	0.00747401600010949	18	10	24
Adrb3	0.000541636655815077	12	10	24
Adsl	0.0455455442140239	10	8	24
Adss	0.00377203309807838	4	12	24
Adssl1	0.104134452212664	6	12	24
Adtrp	0.0476353237836855	16	6	24
Aebp1	0.201023855585886	20	12	24
AF366264	0.755369536710694	18	6	24
Afap1	0.46341394650684	14	6	24
Afap1l1	0.00853763552816424	16	16	24
Afap1l2	0.140884270991091	10	14	24
Aff1	0.249117806072027	22	20	24
Aff2	0.942103422122494	18	10	24
Aff3	0.685643723070108	18	14	24
Aff4	3.51512041736326e-07	18	6	24
Afg1l	3.33878781140798e-05	24	18	24
Afg3l1	0.962795215036634	4	18	24
Afg3l2	1.0009825656897e-07	20	10	24
Afm	0.0234218566857941	24	20	24
Afmid	1.99759233178971e-06	6	10	24
Afp	0.161473153541235	18	12	24
Aftph	0.000274910312144945	8	14	24
Aga	0.125587014871163	4	14	24
Agap1	6.65805678503992e-05	24	12	24
Agbl3	0.914458767513605	18	18	24
Agbl5	0.667531933171298	12	20	24
Ager	0.107122620140832	18	14	24
Agfg1	1.31215417489576e-05	16	12	24
Agfg2	0.885346656972315	24	10	24
Aggf1	0.00303758982634204	8	10	24
Agmo	0.0165772628236963	24	10	24
Ago2	0.00454308237285323	22	12	24
Ago4	4.99883017481591e-05	12	10	24
Agpat1	5.62828507808374e-05	20	14	24
Agpat4	0.0620344209677415	16	12	24
Agpat5	2.72314157967809e-05	24	16	24
Agps	0.239817027843022	4	6	24
Agr2	0.0462494854812388	18	10	24
Agr3	0.0934180894816527	18	10	24
Agrn	0.931411468879172	8	10	24
Agrp	0.0923110486523687	18	6	24
Agt	0.333407665892421	10	10	24
Agtr1a	6.31878532104314e-10	12	10	24
Agtr1b	0.792196836189045	14	6	24
Agxt	6.482429860592e-07	10	16	24
Ahctf1	1.57478904726261e-09	4	10	24
Ahcyl1	0.905385816487422	4	20	24
Ahcyl2	2.25405733873477e-06	2	16	24
Ahdc1	0.0337223449976563	4	16	24
Ahi1	0.018247167647582	22	18	24
Ahnak	0.622604773347279	24	14	24
Ahr	0.000440052771378107	16	8	24
Ahrr	0.0023909646191397	18	10	24
Ahsa1	8.64614959237665e-07	24	14	24
Ahsa2	1.11998968483944e-06	24	14	24
Ahsg	0.0739642422703228	18	8	24
AI413582	0.929272720008255	10	10	24
AI467606	0.851336203350608	18	6	24
AI504432	0.0994781984820467	18	18	24
AI597479	0.0156401372359347	6	16	24
AI661453	0.00289237275900014	2	12	24
AI837181	0.0714626043787372	8	8	24
AI854703	0.129613529311804	18	14	24
AI987944	0.00014120026736326	16	6	24
Aicda	0.953271351219268	18	8	24
Aif1	0.21202233246358	16	14	24
Aif1l	0.14826828062427	18	14	24
Aifm1	0.778259522671624	12	16	24
Aifm2	0.000241470565744787	20	16	24
Aifm3	0.892071661057745	14	6	24
Aig1	0.170690980514023	6	18	24
Aim2	0.0031821555663358	18	4	24
Aimp1	5.41492586701771e-06	16	14	24
Aimp2	0.0302503586221761	24	10	24
Aip	0.246135977957206	4	14	24
Aipl1	0.915140497170497	22	10	24
Aire	0.55228535329067	18	6	24
Airn	0.0349192271396102	14	6	24
Ajm1	0.0394475958775055	22	6	24
Ajuba	0.000110212237925008	24	18	24
Ak1	0.00834266712192989	10	20	24
Ak2	9.71064511055338e-11	18	16	24
Ak3	0.00116052434889406	24	12	24
Ak4	4.23875417402496e-10	20	14	24
Ak5	0.311499569726617	18	12	24
Akap1	0.0060574431638043	10	8	24
Akap10	0.00126469947940742	12	10	24
Akap12	0.015698886744867	12	14	24
Akap3	0.772765959792774	24	16	24
Akap4	0.44397331878936	18	14	24
Akap6	0.458384745156656	18	18	24
